,Occupation,Arm.Hand.Steadiness,Auditory.Attention,Category.Flexibility,Control.Precision,Deductive.Reasoning,Depth.Perception,Dynamic.Flexibility,Dynamic.Strength,Explosive.Strength,Extent.Flexibility,Far.Vision,Finger.Dexterity,Flexibility.of.Closure,Fluency.of.Ideas,Glare.Sensitivity,Gross.Body.Coordination,Gross.Body.Equilibrium,Hearing.Sensitivity,Inductive.Reasoning,Information.Ordering,Manual.Dexterity,Mathematical.Reasoning,Memorization,Multilimb.Coordination,Near.Vision,Night.Vision,Number.Facility,Oral.Comprehension,Oral.Expression,Originality,Perceptual.Speed,Peripheral.Vision,Problem.Sensitivity,Rate.Control,Reaction.Time,Response.Orientation,Selective.Attention,Sound.Localization,Spatial.Orientation,Speech.Clarity,Speech.Recognition,Speed.of.Closure,Speed.of.Limb.Movement,Stamina,Static.Strength,Time.Sharing,Trunk.Strength,Visual.Color.Discrimination,Visualization,Wrist.Finger.Speed,Written.Comprehension,Written.Expression,Administration.and.Management,Biology,Building.and.Construction,Chemistry,Clerical,Communications.and.Media,Computers.and.Electronics,Customer.and.Personal.Service,Design,Economics.and.Accounting,Education.and.Training,Engineering.and.Technology,English.Language,Fine.Arts,Food.Production,Foreign.Language,Geography,History.and.Archeology,Law.and.Government,MathematicsKnowledge,Mechanical,Medicine.and.Dentistry,Personnel.and.Human.Resources,Philosophy.and.Theology,Physics,Production.and.Processing,Psychology,Public.Safety.and.Security,Sales.and.Marketing,Sociology.and.Anthropology,Telecommunications,Therapy.and.Counseling,Transportation,Active.Learning,Active.Listening,Complex.Problem.Solving,Coordination,Critical.Thinking,Equipment.Maintenance,Equipment.Selection,Installation,Instructing,Judgment.and.Decision.Making,Learning.Strategies,Management.of.Financial.Resources,Management.of.Material.Resources,Management.of.Personnel.Resources,MathematicsSkill,Monitoring,Negotiation,Operation.and.Control,Operation.Monitoring,Operations.Analysis,Persuasion,Programming,Quality.Control.Analysis,Reading.Comprehension,Repairing,Science,Service.Orientation,Social.Perceptiveness,Speaking,Systems.Analysis,Systems.Evaluation,Technology.Design,Time.Management,Troubleshooting,Writing,Job.Zone,Career.Cluster,Career.Cluster.Abbrev
392,Gas Plant Operators,2.88,4,2.88,3.5,3.5,2.88,0,1.5,0.25,2.5,3.13,3,3.5,2.75,2.13,1.75,2.38,3.13,3.38,3.25,2.75,2.38,2.38,3.38,3.38,1.25,2.75,3.63,3.63,2.5,4,1.63,3.63,2.75,3.63,3.13,3.38,1.75,1.88,2.88,3,3,1.63,1.63,1.88,2.88,2.38,2.75,3.38,2,3.5,2.75,2.42,0.74,3.15,3.36,2.61,1.39,3.64,2.72,2.37,0.65,3.51,3.59,3.13,0,0,0.08,1.47,0.21,2.08,3.6,5.51,1.04,0.94,0.77,3.54,2.86,1.8,3.95,0.41,1.09,1.96,0.52,2.13,3.12,3.25,3.12,3.12,3.38,3,2.75,0.12,2.75,3,2.5,1,1.12,2.62,2.75,3.5,2.62,3.88,4.62,1.38,2.5,0.88,3.5,3.38,3,2,1.88,2.62,3.25,2.62,2.5,1.38,2.62,3.38,3,3,Manufacturing,Manu
393,Gem and Diamond Workers,5.25,2,3.5,4.25,3.12,2.38,0,0.25,0.25,0.12,2.38,4.38,3.75,2.5,0,0,0,1.75,3.12,2.75,3.38,2.62,1.62,2.25,6,0.25,2.62,3.62,3.5,2.75,2.75,0,2.88,1.62,1.62,1.75,2.62,0,0,2.88,3,2.62,0.38,0,1.12,2,0.38,4.38,3.38,2,3.12,2.75,3.12,0,0.29,1.37,2.63,1.79,2.44,3.1,2.12,1.97,2.22,1.47,3.32,0.11,0,0.67,1.63,0.23,1.28,3.21,1.84,0.07,1.65,0.2,0.66,3.72,1.49,1.24,3.13,0.65,2.08,0.6,1.54,2.62,3,2.62,2.38,3.12,1.75,2.5,0,1.75,3.25,2.12,1.88,2,2,2.88,3,1.88,2.25,2.5,2.38,2.88,0,3.5,2.88,1.5,0.62,3,2.62,3,1.5,1.5,1.38,2.38,1.75,2.88,3,Manufacturing,Manu
394,General and Operations Managers,1.5,2,3,1.38,3.75,1.88,0,0.75,0.75,0.5,2.88,1.38,2.25,3.25,0.38,1.25,0.62,2,3.38,3.62,0.75,3.12,2.25,1.5,3.25,0.5,2.62,4.12,4,3.38,2.25,0.88,3.88,1.12,1.75,0.75,2.88,0.62,0.62,3.25,3.25,2.12,0.62,1.5,1.75,2.88,2.12,2.25,2.5,0.62,4,4,5.21,0.9,2.62,1.74,3.7,2.68,4,5.06,2.66,3.84,3.87,2.31,3.68,0.47,0.49,1.13,1.68,0.43,3.12,4.16,2.91,0.86,4.43,0.87,1.41,4.34,2.78,3.12,4.05,1.3,2.33,1.48,2.31,3.62,4,3.75,3.88,4,0,0,0,3.25,3.75,3.25,3.38,3.25,3.88,2.5,4,3.62,1.75,2.62,3.12,3.5,0.62,2.12,4,0,1.12,3.12,4,4,3,3.12,1.12,3.75,1.38,3.88,4,Business Management & Administration,BusinManAdmin
395,Genetic Counselors,0,1.5,3.5,0.12,4.62,0,0,0,0,0,2.88,2.25,3.12,3.25,0,0,0,1.75,4.62,4,0,3.12,2.88,0,3.75,0,2.88,4.88,5,3.12,3,0,4,0,0,0,2.88,0,0,3.5,3.5,2.88,0,0,0,2.75,0.12,2.5,2.62,0,4.88,4.88,2.39,5.57,0,3.09,4,3.04,3.04,5.04,0.17,0.74,4.57,0.91,4.09,0,0,1.52,1.65,0.83,2.52,4.52,0.17,4.22,1.87,3.35,0.7,0.61,4.87,1.3,2.13,4.48,0.96,5.22,0.3,3.88,4,3.75,3,4.12,0,0,0,3.25,4,3.25,0.62,0.12,2.88,2.75,3,3,0,1.5,0.38,3,0.5,0.25,4.75,0,3.12,3.12,4,3.88,3,3.12,0.62,3.12,0,4.25,5,Health Science,HealthSci
396,Geneticists,2.12,2.12,4,2.38,4.5,1.62,0,0,0,0,3.12,2.62,3.38,4.12,0,0,0,2.12,5,4.12,2,3.88,2.75,1,4,0,3.75,5,4.88,4.25,3,0,4.5,0.5,0.62,0.5,2.88,0,0.12,3.88,3.25,2.5,0,0,0.5,2.62,1.62,2.75,3,1.62,5,5,4.1,6.17,0.4,4.47,3.48,3.1,4.6,3.13,1.57,1.93,4.87,2.43,5.2,0.4,0.43,1.57,2.67,1.7,2.37,4.7,1.43,3.83,3.77,2.2,1.63,2.07,2.63,2.27,2.1,3.07,1.17,2.87,1.2,3.88,4.25,3.88,3.25,4.25,0,0.25,0,3.75,3.88,4,2,2.12,3.12,4,3.88,3,1,2.75,1.12,3.25,1.25,2.62,5,0,4.38,3,4,4,3.62,3.38,1.12,3.75,1,4.88,5,"Science, Technology, Engineering & Mathematics",SciEng
397,Geodetic Surveyors,2.75,2.12,3.75,2.88,4,2.38,0,0.88,0.38,1.25,3.75,2.75,4.25,3.25,1,1.62,1.12,2,4.12,4,2.25,4.88,3,2.62,4,1.12,4.12,4.75,4.5,3.12,3.12,1,3.75,1.38,1.25,1.75,3.25,1,2.38,3.25,3.25,2.75,0.5,1.25,1.88,2.75,2.12,2.5,3.62,1.12,4.75,4,3.5,0.9,2.3,1.42,3.75,2.7,5.05,3.6,4.2,2.3,4.1,5.2,4,0.4,0.2,1.1,5.4,1.8,3.3,5.7,2.35,0.65,2.9,1.1,4.26,2.4,1.65,1.95,2.4,1.45,3,0.9,2.15,3.88,4,3.88,3.12,4,1.62,2.38,0,3.12,3.75,3.5,1.88,1.88,3.5,4.75,3.88,2.25,2.75,2.5,1.75,2.38,3,3,4.38,1.62,3.62,2.5,3,3.88,3.25,3.25,1.5,3.5,1.88,4.12,4,Architecture & Construction,ArchitCons
398,Geographers,0,2,4,0,4.12,1.12,0,0,0,0,3.5,1.12,3.62,3.62,0,0,0,1.88,4.12,3.88,0,3.38,2.62,0,3.88,0,3.38,4.88,5,3.62,2.88,0,3.88,0,0,0,3,0,0,4.12,3.75,2.62,0,0,0,2.25,0.75,2.5,2.88,0.12,4.75,4.62,3.48,3.91,0.91,2.35,3.43,3.52,4.55,3,3.64,1.3,5.65,2,4.91,0.73,0.74,3.14,6.95,4.64,2.91,4.7,1,0.43,2.61,3.73,2.57,1.13,2.82,1.61,0.87,5.59,1.35,0.91,2.74,3.88,4,3.88,3.25,4,0,0,0,3.62,3.62,3.62,1.5,1.75,2.88,3,3.5,2.75,0,1.25,2.75,2.75,0.88,0.5,4.75,0,3.88,3,3.12,4.25,3.75,3.5,1.12,3.38,0,4.75,5,"Science, Technology, Engineering & Mathematics",SciEng
399,Geographic Information Systems Technicians,2,2.38,3.75,2.12,4,1.62,0,0.12,0.12,0.25,3.12,2.75,3.75,3.38,0.25,0.12,0.25,1.88,3.62,4,1.75,4.12,2.62,0.38,4,0.12,3.62,4.38,3.88,3.25,3,0.12,3.38,0.38,0.5,0.25,3,0.25,2,3.12,3.25,2.62,0.12,0.12,0.25,2.12,0.75,2.75,3.88,0.62,4.38,3.75,3.52,2.51,1.2,2.29,3.27,1.73,5.56,3.72,4.38,1.43,3.49,3.88,4.29,0.84,0.29,0.04,6.29,2.21,2.81,4.68,2.52,0,1.03,0.05,2.7,1.22,1.26,2.66,1.76,1.44,1.27,0.06,1.81,3.62,3.75,3.5,3.25,3.88,0.62,1.75,0.88,3.38,3.38,3,1.25,1.25,2.62,4.38,3.38,2.12,1.25,2,2.88,2.75,3,1.5,4.25,0.5,2.62,3.12,2.62,3.5,3.12,3.12,3,2.5,0.75,3.75,4,Information Technology,IT
400,"Geography Teachers, Postsecondary",0,1.38,3.5,0,4.12,0.25,0,0,0,0,3,1.12,2.38,3.62,0,0,0,0.88,4,3.5,0,2.75,2.88,0,3.38,0,2.5,5,5,3.62,2.12,0,3.38,0,0,0,2.75,0,0.38,5.12,3.75,2.12,0,0,0,2,1.88,1,2.12,0,5,5,3.33,4.47,1.13,2.69,3.44,3.26,4.53,3.47,2.2,2.49,5.57,2.68,5.85,1.26,0.55,2.55,6.79,4,2.64,4.91,2.2,0.24,3.26,3.28,2.55,1.05,2.82,1.93,1.55,4.32,1.08,1.63,2.17,4.25,4.38,3.62,3.5,4.12,0,0,0,4.5,3.75,4.12,1.25,1.38,3,3.12,4.12,2.5,0,0.38,2.88,3,0.88,0.75,5,0,3.88,3.12,3.38,4.88,2.88,2.88,0.5,3.38,0,5,5,Education & Training,EduTrain
401,Geological Sample Test Technicians,3,2.38,3.62,3,3.88,2.5,0.25,1.88,0.5,2.12,3.25,3,3.75,3,1.75,1.88,1.75,2.12,4,3.88,2.88,3.12,2.62,2,4,1.62,3.5,4.25,4,3,3,1.75,3.75,2.12,2.5,1.88,2.88,1.75,1.75,2.88,2.88,2.75,1.38,1.62,2.5,2.5,2.38,2.88,3,2,4.12,3.62,2.1,1.9,1.57,4.48,2.55,2.33,4.1,2.33,2.57,0.71,2.33,3.52,3.86,0.33,0,0.86,4.1,1.9,1.57,4.29,3.71,0.14,0.95,0.86,3.62,2.81,0.67,2.05,0.62,0.29,1.1,0.57,1.71,3.12,3.12,3,3,3.75,2.62,2.62,0,2.62,2.88,2.88,1.38,1.62,2.75,3.5,3.75,2.12,2.75,3.12,2.38,2.12,1.5,3.25,4,2.75,3.62,2.25,2.88,3.12,3,2.88,1,3,2.88,3.25,4,"Agriculture, Food & Natural Resources",Agri
402,Geophysical Data Technicians,2.25,2.63,3.25,1.88,3.25,2.5,0,1,0,1,3,2.75,2.88,2.25,0,1.13,0.63,2.63,3.13,3.25,1.25,2.75,1.63,2.13,3.5,0,2.75,4.13,4.25,2.63,2.63,0,3.13,0.75,1,1.13,2.88,0,0.25,3,3,1.25,0.25,0.63,1.5,2,1.88,2.38,3,1.13,4.25,3.5,3.76,1.3,2.11,2.82,3.13,1.73,4.94,3.36,2.86,1.62,2.96,5.03,3.96,0.16,0.24,1.34,4.77,2.23,2.84,4.56,3.06,0.53,2.61,0.27,4.27,2.09,0.94,2.77,2.82,0.89,1.75,0.19,2.63,2.62,3.5,3,2.88,3,0.25,0.62,0.38,2.38,3,2,0.75,1.38,2.5,2.12,2.88,1.88,2.88,3.12,2.25,2.62,0.62,2.25,4,0.25,3.62,2.25,2.88,3.5,2.62,2.25,1.12,2.88,1.75,3.5,4,"Agriculture, Food & Natural Resources",Agri
403,"Geoscientists, Except Hydrologists and Geographers",1.88,2.12,4.25,2.25,4.25,2.62,0,1.12,0,0.88,3.25,2.12,3.62,3.88,0.75,1,0.62,1.5,4.38,4,1.38,4.12,2.38,2,3.88,0.5,3.5,5,4.62,3.25,3,0.62,4.12,0.88,1.25,1.12,3,0.5,1.12,4,3.5,2.75,0.62,1.12,1.38,2.5,1.38,2.88,3.5,1,4.88,4.38,3.79,4.17,2.29,4.88,3.08,2.96,4.46,3.04,3.75,2.46,3.62,4.5,4.87,1,0.29,2.33,5.75,3.62,3.71,5.21,2.54,0.5,2.83,1.12,4.88,1.61,1.33,2.67,3.12,1.38,1.75,0.21,1.75,3.62,4.25,4.12,3.12,4.12,0,0.88,0,3.12,3.75,3.38,1.25,1.12,2.88,4,3.38,2.88,2.12,2.5,3,3.38,1.88,2.5,4.88,0,4.25,2.75,2.88,4.25,3.38,3.38,0.75,3.12,1.12,4.5,4,"Science, Technology, Engineering & Mathematics",SciEng
404,Geospatial Information Scientists and Technologists,1.75,1.12,3.75,2,4,1.25,0,0.5,0,0,3.12,2.38,3.25,3.38,0,0,0,1.38,4,4,1.88,3.62,2.5,0.12,3.88,0,3.25,4.62,4.12,3.25,2.88,0,3.88,0,0,0,3.12,0,0,3.12,3,2.62,0,0,0,2.5,0.88,2.75,3,0.25,4.75,4.25,3.83,3.04,1.13,1.74,4.17,3.09,5.7,4.5,3.83,1.57,4.96,2.78,4.74,1.04,0.27,1.26,6.83,2.57,2.91,5.09,1.43,1.04,2.05,0.7,2.22,2.67,1.26,2.3,2.87,2.45,2.09,0.65,2.45,3.75,4,3.88,3.38,4,0,0.38,0,3.25,3.38,3.12,1.88,1.88,2.88,3.38,3.25,2.62,0.38,1.88,3.5,2.62,3,0.62,4.38,0,3.88,3,3,3.88,3.75,3.62,1.75,3.25,0.25,3.88,4,Information Technology,IT
405,Geothermal Production Managers,2.25,2.75,3.5,2.62,4,2,0.38,0.38,0.25,0.5,3.25,2.75,3.12,3.38,0.88,0.38,1.62,2.38,3.38,3.62,2.12,3.75,2.62,2.12,3.25,0.75,3.5,4.38,4.25,3.25,3.25,1.25,4.12,1.5,2.38,1.62,3.25,1.12,1.75,3.38,3.25,2.75,1.12,0.12,0.62,2.5,2,3,3,0.38,4.12,3.75,4.63,2.81,4.53,4.56,4.59,2.52,4.2,3.1,3.95,3.04,5.36,4.83,3.84,0.24,0.17,1.34,2.45,0.73,3.54,4.63,5.89,1.65,4.36,2.79,4.68,4.64,3.56,4.64,1.35,2.21,2.92,2.76,2.31,3.25,3.62,3.62,3.62,3.88,2.75,2.62,0,3.5,3.62,3.38,3.75,3.25,3.88,3.75,4.38,3.38,2.88,3.5,2.38,3.38,1.25,2.88,4.25,3,2.5,3,3.62,4,3.62,3.75,1.88,3.88,3.12,3.75,3,Business Management & Administration,BusinManAdmin
406,Geothermal Technicians,2.88,4,3.38,3.75,3.38,3,0.38,2.38,0.5,3,3,3,3.12,2.75,2,2,2.5,3,3.38,3.25,3,2.88,2.38,3.62,3.5,1.62,2.88,3.88,3.62,2.75,3.62,1.62,3.5,2.62,3.38,3,3.75,2.12,2.12,2.25,2.62,3,2,2.25,2.62,3.25,3,3.25,3.5,2.25,3.38,2.88,1.71,1.2,3.05,4.09,2.48,1.47,3.66,1.6,3.23,0.96,2.7,3.23,3.32,0.06,0.04,1.32,2.24,0.72,2.13,3.79,5.36,0.79,1.3,0.84,4.09,3.45,1.82,3.31,0.43,0.56,2.45,1.19,2.89,2.88,2.75,3,3.25,3,3.38,2.62,2.75,2.62,3,2.38,1.25,1.75,2.12,2.75,3.5,1.88,3.62,3.88,1.5,2.25,1,3.12,3,3.5,1.88,2.12,2,2.62,2.75,2.62,1.62,2.62,3.5,3,2,Manufacturing,Manu
407,"Glass Blowers, Molders, Benders, and Finishers",4,2.75,3,3.75,2.88,2.75,0,2,1.25,2.38,3.25,3.62,2.75,2.88,2,2,1.5,2.62,2.88,3,3.62,2.12,2.12,3.12,3.88,0.88,2.38,3.12,3,2.75,3.12,0.75,3,3,3.5,2.62,3.5,0.62,0.88,2.75,2.88,2,1.62,2,2.62,2.75,2.88,3.75,3.88,2.62,3,2.62,2.69,0.74,3.28,3.07,1.91,0.8,3.03,3.23,4.46,2.26,3.96,4.31,3.1,1.19,1.04,0.07,0.18,0.6,0.54,3.45,4.19,0.89,2.78,0.14,3.05,4.61,1.77,2.39,2.94,0.63,0.72,0.66,0.81,2.88,3,2.75,2.5,3,2.38,2.25,0,2.38,2.75,2.38,1.12,1.62,2.12,2.12,3,1.88,2.88,3,1.62,2,0.38,3,3,2.38,1.25,1.75,2.62,2.75,1.75,1.88,0.88,2.62,2.5,2.62,2,Manufacturing,Manu
408,Glaziers,3.12,2.25,2.75,3,2.75,2.75,0.38,2.25,0.38,3.12,2.88,3.12,1.88,2,1.38,2.25,2.62,1.75,2.88,3,3,1.75,1.12,3,3.25,0.75,2,3.62,2.88,1.75,2.12,1.12,2.88,1.12,2.25,2,2.62,0.88,1.38,2.62,2.88,1.88,2,2.75,2.75,2.12,3.12,2.62,3,1.62,2.88,2.12,1.94,0.22,4.94,0.37,1.28,0.78,0.77,2.97,2.6,0.87,2.25,1.61,1.99,0.06,0.04,0.37,0.44,0.22,1.22,3.19,3.12,0.15,1.11,0.32,1.07,2.65,0.83,1.7,1.81,0.59,0.83,0.08,1.6,2.12,2.88,2.38,3,2.88,0.5,1.5,1.38,2.12,2.38,1.88,0.88,0.75,2,2.38,3,1.38,2.88,2.62,1.62,1.5,0,2.38,2.88,0.62,0.5,2,2.62,2.75,1.75,1.88,0.88,2.5,1.62,1.88,2,Architecture & Construction,ArchitCons
409,Government Property Inspectors and Investigators,2.38,2.62,3.75,2.25,4.25,2.62,0,1.12,0.62,1.5,3.88,2.38,4,3.38,2,1.75,1.25,2.5,4.25,4,2.12,3,3.12,2.25,4.5,1.5,3,4,4,3,3.38,1.62,4.25,1.62,1.75,2.12,3,1.38,2.5,3.88,3.75,3.38,1,1.38,1.88,3.12,2.12,3.12,3.25,1,4,4,2.88,2.8,4.34,3.04,4.84,2.79,4.46,5.73,3.95,2.47,4.16,4.21,3.92,0.53,0.48,2.7,2.18,1.14,3.73,3.21,3.4,0.65,3,1.08,2.73,2.03,2.99,4.57,2.3,1.98,1.1,0.82,2.4,3.38,4.12,3.38,3.38,4.12,0,0,0,3.25,4,3.12,1.5,1.88,2.88,3.12,4.12,3.25,2.5,3,1.25,3.5,1.25,3.25,4.25,0,1.25,3.12,3.25,4.12,3.38,3.38,0.75,3.12,1.12,4,3,Government & Public Administration,Govt
410,"Graders and Sorters, Agricultural Products",2.5,1.38,2.62,2,2.12,0.88,0.5,1.5,0.38,1.88,1.62,2.75,1.88,0.5,0,1.38,1.25,0.75,2,1.88,3.12,0.75,0.75,2.12,2.88,0,1,2.88,2.62,0.62,1.5,0,2.25,1.62,1.75,0.38,2.12,0,0,2.38,2.5,0.75,0.38,1.75,2.5,1,2.88,1.88,0.88,1,1.75,1.62,1.5,1.2,0.9,1.82,1.09,0.62,0.88,1.4,0.3,1.44,2.72,0.9,2.5,1.03,2.12,1.7,0.84,0.72,1.47,2.06,2.55,0.6,1.15,1.02,0.71,2.94,0.62,2.38,0.38,1.38,0.59,0.49,0.82,1.5,2.25,1.62,2.5,2.25,0,0,0,0.88,1.88,0.88,0.12,0.12,0.62,0.88,2.12,1.12,0.62,1,0,1.5,0,1,1.62,0,0.25,1.25,1.75,2.25,1.25,0.88,0,1.88,0.5,1.38,1,"Agriculture, Food & Natural Resources",Agri
411,Graduate Teaching Assistants,0.88,1.75,3,0.75,3.75,0.88,0,0,0,0,2.88,1.12,2.25,3.25,0,0,0,1.62,3.38,3,0.75,2.25,2.25,0,3.25,0,2.25,4.62,4.38,3.25,2,0.12,3.12,0,0,0,2.88,0.12,0,3.75,3.25,2,0,0,0,2.12,1.88,1.62,2.12,0.62,4,4,1.79,2.05,0.52,1.79,2.85,2.89,3.88,2.48,2.08,0.45,5.15,1.42,5.5,1.78,0.21,1.26,2.65,2.31,0.67,3.71,1.04,0.96,1.11,2.57,1.57,0.82,2.93,1.37,0.5,2.33,0.57,1.62,0.97,3.12,4,3.12,3,3.38,0,0,0,3.5,3,3.5,0.38,0.88,2.25,2,3.25,2.25,0,1.25,2,2.62,1,1.5,4.25,0,1.62,3.12,3.12,3.5,2.38,2.12,1.12,3,0.88,3.38,5,Education & Training,EduTrain
412,Graphic Designers,2.5,0.62,3.12,2.12,3.25,1.25,0,0.25,0,0,2.88,2.75,2.62,4,0,0,0,0.88,3.12,3.38,2,1.88,2,0,4,0,2.12,3.88,3.88,3.88,2.25,0,3.12,0,0,0,2.88,0,0,3,3.25,2.12,0,0,0,2.38,0.75,3.5,3.62,0.62,3.38,3.5,3.31,0.15,0.19,0.38,4.12,4.92,4.85,4.23,5.08,2.12,2.5,2.35,4.81,4.92,0.12,1,2.62,1.58,1.62,3.12,0.69,0.12,1.88,1.88,0.46,2.65,2.62,0.54,4.42,3.04,1.62,0.58,0.77,3.12,3.38,3,3,3.62,0,0.38,0,2.88,3,2.75,1.38,1,2.38,2.12,3.12,2.88,0.25,1.62,3.12,3,0.75,1.25,3.75,0,0.25,2.88,2.88,3.5,2.62,2.75,1.5,3,0,3.12,4,"Arts, Audio/Video Technology & Communications",ArtAVComm
413,"Grinding and Polishing Workers, Hand",3.5,2.62,2.88,3.5,2.88,2.38,0,2.12,1.25,2.88,2.88,3.62,2.62,2.12,1.5,1.75,1.62,2.25,2.75,2.88,3.38,1.25,1.88,3.12,3.5,1.25,1.75,2.88,2.88,2,2.88,1.25,3,2.75,3,2.5,2.88,1.12,1.12,2.5,2.75,1.88,1.38,1.88,2.88,2.75,2.88,2.88,2.88,2.25,2.75,2.5,2.63,0.73,1.82,2.33,1.9,1.36,1.75,1.85,1.91,1.49,3.01,2.44,2.86,1.29,0.11,1.13,0.65,0.8,0.97,2.96,3.04,0.69,1.99,0.99,1.81,3.57,1.37,2.64,1,0.83,0.83,0.85,2.14,2.25,2.88,2.5,2.5,2.88,2.75,2.25,0.12,2,2.5,2,0.62,0.88,2,1.75,2.88,2,3,3.12,0.75,2,0.25,2.88,2.88,2.62,0.38,2.12,2.25,2.38,1.88,1.88,1.25,2.62,2.75,2.62,1,Manufacturing,Manu
414,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3,3.12,3,4,2.88,3.12,0.25,2.12,0.88,2.88,3.12,3,2.88,2.25,0.75,2.12,2,2.62,2.88,3.25,3.12,2,2,3.12,3.62,0.25,2.38,3,2.88,1.75,3.12,0.5,3.12,3,3.75,2.5,3,1,1,2.12,2.25,2.25,2.12,1.88,3.12,2,3,2.38,3.38,2.62,3,2.12,3.2,0.27,1.25,2.22,1.99,0.77,2.69,1.45,2.16,0.56,1.82,1.95,2.65,0.18,0.26,0.58,0.23,0.21,0.54,2.74,3.39,0.52,0.93,0.48,1.12,3.46,0.97,1.52,0.81,0.33,0.38,0.39,1.25,2.25,2.62,2.75,2.5,2.88,2.5,2.12,0.62,2.12,2.88,2,0.75,1.12,1.88,3,3,1.38,3.62,3.62,1,1.62,0.75,3.5,2.88,2.5,0.5,1.75,2.25,2.5,2.25,2.12,0.75,2.25,2.62,2,2,Manufacturing,Manu
415,"Hairdressers, Hairstylists, and Cosmetologists",3.75,2,3,3,3.12,1.88,0.12,1.88,0.75,2.75,2.62,3.75,2.88,3.12,0,1.25,1,1.88,3,3,3.75,1.88,2.12,2.75,4,0,2,3.25,3.38,3.12,2.5,0,3.12,0,0,0,2.88,0,0,3,3.25,2.12,0,1.5,1.88,3,3,3,3.62,1.88,3,2.12,2.95,1.11,0.28,2.79,2.81,1.47,2.28,4.71,0.81,2.08,3.08,1.11,1.86,0.34,0.39,0.43,0.01,0.03,1.51,2.09,1.11,0.34,2.27,0.06,0.32,1.9,1.63,1.43,3.89,0.62,0.4,0.75,0.94,3,3,2.88,2.5,3.5,0.38,1.12,0,3,2.5,3,0.75,1.12,2.25,2,3,2.38,0.5,1.62,1.88,2.75,0.38,1,3,0,1,3.25,3.12,3,2.12,2.25,1,2.62,0.62,2.88,3,Human Services,HumServ
416,Hazardous Materials Removal Workers,3.12,2.5,3.5,3.75,3.62,3.12,0.25,2.25,1.25,3.25,3,2.88,3.12,2.88,2.12,2.25,2.25,2.12,3.25,3.25,3,2,2.62,3.75,3.25,1.75,2,3.88,3.5,2.75,3.12,1.62,4,2.62,3.12,2.62,3,1.25,1.88,3.12,3.12,2.5,1.25,2.25,3.12,3,3,2.88,3.38,1.62,3.5,3,3.65,1.9,3.51,3.61,2.86,1.76,2.08,3.88,2.72,1.84,3.08,2.61,3.58,0.96,1.9,1.44,1.86,0.81,2.38,2.98,3.82,1.62,2.57,1.17,2.87,2.17,2.32,4.43,2.31,1.2,1.58,1.27,3.62,3,3,3,3,3.62,2.62,2.12,0.88,2.88,3,2.25,1,1.75,2.5,2.12,3.12,2.75,3,3,1.12,2.75,0.25,2.75,3,2.12,1.75,2.75,2.75,2.88,2.12,2,0.5,3,2.75,2.88,3,"Agriculture, Food & Natural Resources",Agri
417,Health Educators,2.12,1.5,3.12,1.75,3.88,1.38,0,0.38,0,0.38,2.88,2.12,2.5,3.5,0.25,0.38,0.25,2,3.75,3,2,2.12,1.75,1.88,4,0.25,1.88,4.12,4.25,3.38,2.12,0.12,3.38,0.25,0.25,0.5,2.88,0,0.38,4,3.25,2.12,0.12,0.5,1.38,2.75,1.25,2,2.25,0.12,4,4.12,3.54,2.01,0.16,0.56,4.48,4.06,3.25,5.1,0.52,2.06,5.57,0.28,5.08,0.69,0.12,0.99,0.98,0.74,1.77,3.01,0.16,2.46,2.09,2.44,0.17,0.43,4.31,2.25,3.41,3.98,0.91,4.08,0.38,3.38,4,3.38,3.38,4,0,0,0,3.38,3.25,3.88,2,2.12,3.25,1.88,3.62,3,0.75,1.62,3.12,3.25,0.25,0.75,4,0,2.88,3.25,3.75,4.12,2.88,3,0.62,3.25,0,4,4,Human Services,HumServ
418,"Health Specialties Teachers, Postsecondary",0.62,1.75,3.5,0.38,4,0.75,0,0.5,0,0.38,2.62,1.12,2.62,3.38,0,0.38,0.38,1.25,4,3.75,0.25,3,3,0.5,3.75,0,2.62,5,5,3.62,2.12,0,3.62,0,0,0,3.12,0,0,4.75,3.75,2.88,0,0.62,0.5,3,1,1.75,2,0,5,5,3.34,4.76,1.08,3.29,3.86,3.36,3.49,3.91,2.25,1.55,6.43,2.1,5.51,0.4,0.8,0.81,1.52,0.95,3.24,4.33,2.41,5.27,2.94,2.03,3.36,1.25,4.76,2.87,2.16,3.94,2.29,4.23,0.74,4.12,4.88,4,3.5,4.38,0,0.5,0,4.38,3.88,4.12,1.25,1.5,3.12,2.88,4,3,0,1.38,2.5,3.25,0.25,1,5,0,3.38,3.25,3.75,4.75,3.12,3.12,0.5,3.75,0.25,4.88,5,Education & Training,EduTrain
